date,open,close,high,low
1/2/2018 16:56:00,76402.6,77891.04,77909.01,76402.6
1/3/2018 16:56:00,77889.41,77995.16,78413.89,77601.52
1/4/2018 16:56:00,77997.69,78647.42,79134.83,77997.69
1/5/2018 16:56:00,78644.27,79071.47,79071.47,78218.11
1/8/2018 16:56:00,79070.27,79378.54,79395.45,78631.25
1/9/2018 16:56:00,79379.21,78863.54,79414.91,78699.25
1/10/2018 16:56:00,78863.57,78200.57,78863.57,78163.85
1/11/2018 16:56:00,78200.75,79365.44,79365.44,78200.75
1/12/2018 16:56:00,79365.44,79349.12,79440.47,78861.38
1/15/2018 16:56:00,79349.12,79752.37,79846.66,79349.12
1/16/2018 16:56:00,79750.74,79831.76,80246.33,79667.72
1/17/2018 16:56:00,79831.63,81189.16,81189.47,79827.85
1/18/2018 16:56:00,81185.02,80962.65,81367.38,80498.49
1/19/2018 16:56:00,80964.73,81219.5,81429.06,80853.76
1/22/2018 16:56:00,81219.5,81675.42,81675.42,80922.85
1/23/2018 16:56:00,81676.09,80643.43,81676.09,80538.79
1/24/2018 16:56:00,80678.81,83680,83680,80678.81
1/26/2018 16:56:00,83680.24,85530.84,85530.84,83680.24
1/29/2018 16:56:00,85530.84,84698.01,85530.84,84340.7
1/30/2018 16:56:00,84697.27,84482.46,84697.27,83803.6
1/31/2018 16:56:00,84485.49,84912.7,86212.82,84484.39
2/1/2018 16:56:00,84912.87,85495.24,86027.99,84832.74
2/2/2018 16:56:00,85495.08,84041.34,85495.08,83831.19
2/5/2018 16:56:00,84039.78,81861.09,84310.79,81861.09
2/6/2018 16:56:00,81857.26,83894.04,84161.84,80804.3
2/7/2018 16:56:00,83893.81,82766.73,84375.61,82548.25
2/8/2018 16:56:00,82773.48,81532.53,83500.94,81109.01
2/9/2018 16:56:00,81531.51,80898.7,81897,79690.09
2/14/2018 16:56:00,80901.47,83542.84,83781.67,80901.47
2/15/2018 16:56:00,83550.96,84290.57,84686.1,83550.96
2/16/2018 16:56:00,84290.9,84524.58,84575.33,83823.94
2/19/2018 16:56:00,84524.58,84792.71,84955.58,84524.58
2/20/2018 16:56:00,84791.97,85803.96,86290.32,84260.62
2/21/2018 16:56:00,85803.96,86051.82,87358.33,85803.96
2/22/2018 16:56:00,86050.46,86686.45,87159.04,86050.46
2/23/2018 16:56:00,86690.01,87293.24,87344.76,86137.51
